auc1,gap,accessible_fraction,mean_functional_time,mean_x_max
0.0,8,0.4,-0.6792682926829297,0.6738755211770596
0.0,12,0.34,-2.494736842105265,0.673875532148618
0.0,16,0.3,-4.312857142857146,0.6738755210750476
0.0,20,0.24,-6.134375000000003,0.6738755345812089
0.0,25,0.16,-8.958620689655175,0.6738755238274722
0.25,8,0.38,-0.45897435897436095,0.7690455939290107
0.25,12,0.34,-1.8541666666666687,0.7457410153481168
0.25,16,0.28,-4.122058823529414,0.7292572275221021
0.25,20,0.24,-6.479687500000002,0.7171272855296661
0.25,25,0.16,-9.134482758620694,0.706056571958496
0.5,8,0.38,0.06891891891891634,0.865340735575607
0.5,12,0.34,-1.7914285714285738,0.8182110991430526
0.5,16,0.28,-3.8378787878787906,0.7849934198856894
0.5,20,0.24,-6.027419354838712,0.7605972235029409
0.5,25,0.16,-8.551785714285716,0.7383630698099707
0.75,8,0.36,0.004166666666664259,0.9627195575686806
0.75,12,0.32,-1.6044117647058849,0.8912579559384585
0.75,16,0.28,-3.4687500000000027,0.8410697897326941
0.75,20,0.24,-5.530000000000002,0.8042783934111938
0.75,25,0.16,-8.700000000000001,0.7707876116423533
1.0,8,0.36,0.0799999999999982,1.0611573442417812
1.0,12,0.32,-1.3212121212121246,0.964864475510696
1.0,16,0.28,-3.8578125000000023,0.8974743228509224
1.0,20,0.24,-5.785000000000002,0.8481615908825324
1.0,25,0.16,-8.062962962962965,0.8033279520811543
