sigma,tau_r,recovered,recovered_within_window,t_return,functional_time,x_max,temporal_margin,temporal_status,sigma_tau_ratio,tau_sigma_ratio,temporal_regime
0.5,1.0,True,True,13.15,36.85,0.4752347220083187,36.85,ACCESSIBLE,0.5,2.0,HIGH_MARGIN_ACCESSIBLE
0.5,1.489795918367347,True,True,14.55,35.45,0.5702355173678675,35.45,ACCESSIBLE,0.33561643835616434,2.979591836734694,HIGH_MARGIN_ACCESSIBLE
0.5,1.9795918367346939,True,True,16.0,34.0,0.6338569874957259,34.0,ACCESSIBLE,0.25257731958762886,3.9591836734693877,HIGH_MARGIN_ACCESSIBLE
0.5,2.4693877551020407,True,True,17.45,32.55,0.6801083296893733,32.55,ACCESSIBLE,0.20247933884297523,4.938775510204081,HIGH_MARGIN_ACCESSIBLE
0.5,2.9591836734693877,True,True,18.95,31.05,0.7151723163247556,31.05,ACCESSIBLE,0.16896551724137931,5.918367346938775,HIGH_MARGIN_ACCESSIBLE
0.5,3.4489795918367347,True,True,20.400000000000002,29.599999999999998,0.7429969630069246,29.599999999999998,ACCESSIBLE,0.14497041420118342,6.8979591836734695,HIGH_MARGIN_ACCESSIBLE
0.5,3.9387755102040813,True,True,21.85,28.15,0.7654131069093706,28.15,ACCESSIBLE,0.12694300518134716,7.877551020408163,HIGH_MARGIN_ACCESSIBLE
0.5,4.428571428571429,True,True,23.3,26.7,0.7839178923928838,26.7,ACCESSIBLE,0.11290322580645161,8.857142857142858,HIGH_MARGIN_ACCESSIBLE
0.5,4.918367346938775,True,True,24.8,25.2,0.7996566560534963,25.2,ACCESSIBLE,0.1016597510373444,9.83673469387755,HIGH_MARGIN_ACCESSIBLE
0.5,5.408163265306122,True,True,26.25,23.75,0.8130257455362462,23.75,ACCESSIBLE,0.09245283018867925,10.816326530612244,HIGH_MARGIN_ACCESSIBLE
0.5,5.8979591836734695,True,True,27.700000000000003,22.299999999999997,0.8246123683842627,22.299999999999997,ACCESSIBLE,0.0847750865051903,11.795918367346939,HIGH_MARGIN_ACCESSIBLE
0.5,6.387755102040816,True,True,29.200000000000003,20.799999999999997,0.834846736161821,20.799999999999997,ACCESSIBLE,0.07827476038338659,12.775510204081632,HIGH_MARGIN_ACCESSIBLE
0.5,6.877551020408163,True,True,30.650000000000002,19.349999999999998,0.8437486482125428,19.349999999999998,ACCESSIBLE,0.07270029673590506,13.755102040816325,LOW_MARGIN_ACCESSIBLE
0.5,7.36734693877551,True,True,32.1,17.9,0.8517478194522766,17.9,ACCESSIBLE,0.06786703601108034,14.73469387755102,LOW_MARGIN_ACCESSIBLE
0.5,7.857142857142857,True,True,33.6,16.4,0.85897577691565,16.4,ACCESSIBLE,0.06363636363636364,15.714285714285714,LOW_MARGIN_ACCESSIBLE
0.5,8.346938775510203,True,True,35.050000000000004,14.949999999999996,0.8654176524467739,14.949999999999996,ACCESSIBLE,0.05990220048899756,16.693877551020407,LOW_MARGIN_ACCESSIBLE
0.5,8.83673469387755,True,True,36.5,13.5,0.8711948993674642,13.5,ACCESSIBLE,0.05658198614318707,17.6734693877551,LOW_MARGIN_ACCESSIBLE
0.5,9.326530612244898,True,True,38.0,12.0,0.8765915474134439,12.0,ACCESSIBLE,0.05361050328227571,18.653061224489797,LOW_MARGIN_ACCESSIBLE
0.5,9.816326530612244,True,True,39.45,10.549999999999997,0.8815242929108742,10.549999999999997,ACCESSIBLE,0.05093555093555094,19.632653061224488,LOW_MARGIN_ACCESSIBLE
0.5,10.306122448979592,True,True,40.900000000000006,9.099999999999994,0.8860169964537997,9.099999999999994,ACCESSIBLE,0.048514851485148516,20.612244897959183,LOW_MARGIN_ACCESSIBLE
0.5,10.795918367346939,True,True,42.400000000000006,7.599999999999994,0.8901259703386094,7.599999999999994,ACCESSIBLE,0.046313799621928164,21.591836734693878,LOW_MARGIN_ACCESSIBLE
0.5,11.285714285714285,True,True,43.85,6.149999999999999,0.8938986557486056,6.149999999999999,ACCESSIBLE,0.04430379746835444,22.57142857142857,LOW_MARGIN_ACCESSIBLE
0.5,11.775510204081632,True,True,45.300000000000004,4.699999999999996,0.8975237570448857,4.699999999999996,ACCESSIBLE,0.04246100519930676,23.551020408163264,NO_RECOVERY
0.5,12.26530612244898,True,True,46.800000000000004,3.1999999999999957,0.900874786377523,3.1999999999999957,ACCESSIBLE,0.04076539101497504,24.53061224489796,NO_RECOVERY
0.5,12.755102040816325,True,True,48.25,1.75,0.9039816759557467,1.75,ACCESSIBLE,0.039200000000000006,25.51020408163265,NO_RECOVERY
0.5,13.244897959183673,True,True,49.7,0.29999999999999716,0.9068701414531982,0.29999999999999716,ACCESSIBLE,0.03775038520801233,26.489795918367346,NO_RECOVERY
0.5,13.73469387755102,True,False,51.2,-1.2000000000000028,0.9095624239052247,-1.2000000000000028,TIME_COLLAPSED,0.036404160475482915,27.46938775510204,LATE_RECOVERY
0.5,14.224489795918368,True,False,52.650000000000006,-2.6500000000000057,0.912077842079631,-2.6500000000000057,TIME_COLLAPSED,0.0351506456241033,28.448979591836736,LATE_RECOVERY
0.5,14.714285714285714,True,False,54.1,-4.100000000000001,0.9145049726207114,-4.100000000000001,TIME_COLLAPSED,0.03398058252427184,29.428571428571427,LATE_RECOVERY
0.5,15.204081632653061,True,False,55.6,-5.600000000000001,0.9168078681926679,-5.600000000000001,TIME_COLLAPSED,0.032885906040268455,30.408163265306122,LATE_RECOVERY
0.5,15.693877551020408,True,False,57.050000000000004,-7.050000000000004,0.9189732158271327,-7.050000000000004,TIME_COLLAPSED,0.03185955786736021,31.387755102040817,LATE_RECOVERY
0.5,16.183673469387756,True,False,58.5,-8.5,0.9210129732169775,-8.5,TIME_COLLAPSED,0.030895334174022696,32.36734693877551,LATE_RECOVERY
0.5,16.6734693877551,True,False,60.0,-10.0,0.9229377605189758,-10.0,TIME_COLLAPSED,0.029987760097919217,33.3469387755102,LATE_RECOVERY
0.5,17.163265306122447,True,False,61.45,-11.450000000000003,0.92475702546625,-11.450000000000003,TIME_COLLAPSED,0.0291319857312723,34.326530612244895,LATE_RECOVERY
0.5,17.653061224489797,True,False,62.900000000000006,-12.900000000000006,0.9264792063219549,-12.900000000000006,TIME_COLLAPSED,0.028323699421965318,35.30612244897959,LATE_RECOVERY
0.5,18.142857142857142,True,False,64.4,-14.400000000000006,0.9281118718825013,-14.400000000000006,TIME_COLLAPSED,0.027559055118110236,36.285714285714285,LATE_RECOVERY
0.5,18.632653061224488,True,False,65.85000000000001,-15.850000000000009,0.9296935109114794,-15.850000000000009,TIME_COLLAPSED,0.026834611171960572,37.265306122448976,LATE_RECOVERY
