ratio_bin,mean_ratio,median_ratio,mean_functional_time,median_functional_time,accessible_fraction,count
"(0.0823, 0.292]",0.19287103167702158,0.19556451612903225,31.727391304347826,31.5,1.0,115
"(0.292, 0.477]",0.38478320551910117,0.384070796460177,24.237391304347824,23.75,1.0,115
"(0.477, 0.659]",0.5681388515998047,0.5695538057742782,20.219130434782606,19.25,1.0,115
"(0.659, 0.834]",0.7499642234431442,0.7508650519031143,17.087391304347825,15.649999999999999,1.0,115
"(0.834, 1.022]",0.9310190907872241,0.9317343173431734,12.367391304347825,10.849999999999994,0.9739130434782609,115
"(1.022, 1.202]",1.1113998893933348,1.111111111111111,10.112173913043476,8.399999999999999,0.782608695652174,115
"(1.202, 1.385]",1.2926184175199147,1.2925373134328357,6.316086956521737,4.199999999999996,0.6173913043478261,115
"(1.385, 1.561]",1.472263727672367,1.4735729386892178,2.159565217391302,0.5499999999999972,0.5043478260869565,115
"(1.561, 1.744]",1.6527147715315305,1.6535031847133754,-2.6252173913043504,-4.850000000000001,0.3739130434782609,115
"(1.744, 1.926]",1.8337052169822352,1.8334778837814396,-5.831304347826089,-8.650000000000006,0.34782608695652173,115
"(1.926, 2.124]",2.0199052231106105,2.0249142564050535,-5.615350877192985,-8.400000000000002,0.3508771929824561,114
"(2.124, 2.369]",2.2403250762009392,2.2383531960996748,-9.264782608695654,-12.350000000000001,0.26956521739130435,115
"(2.369, 2.682]",2.516776885930351,2.5136363636363632,-7.470000000000002,-10.75,0.30434782608695654,115
"(2.682, 3.079]",2.8698126042204994,2.867549668874172,-6.51434782608696,-9.25,0.3217391304347826,115
"(3.079, 3.624]",3.337943359834414,3.3415765069551777,-7.3378260869565235,-10.5,0.3130434782608696,115
"(3.624, 4.41]",3.9925775120856524,3.980132450331126,-7.089565217391307,-10.400000000000006,0.30434782608695654,115
"(4.41, 5.623]",4.969445446065729,4.938775510204081,-7.103478260869568,-10.25,0.33043478260869563,115
"(5.623, 7.792]",6.591657088846774,6.525423728813559,-7.257391304347829,-10.100000000000001,0.3217391304347826,115
"(7.792, 12.703]",9.86414895836554,9.670731707317072,-7.5213043478260895,-10.050000000000004,0.3217391304347826,115
"(12.703, 46.082]",21.89388074091221,19.135593220338983,-11.529565217391307,-14.400000000000006,0.21739130434782608,115
