ratio_bin,mean_ratio,recovery_probability,mean_functional_time,std_functional_time
"(0.0823, 0.308]",0.2014178585412191,1.0,34.97636,2.582907839603815
"(0.308, 0.509]",0.40886299948775545,1.0,26.048973333333333,3.005790990421089
"(0.509, 0.696]",0.6078322339913598,0.9976,21.831719999999997,3.0893613988125352
"(0.696, 0.903]",0.8049041538720318,0.9786666666666666,17.479186666666664,3.9633163486186427
"(0.903, 1.101]",1.0015489612775446,0.9192,14.3746,5.035753197462636
"(1.101, 1.296]",1.198214162398299,0.8325333333333333,11.166053333333332,5.884256823083054
"(1.296, 1.493]",1.3940518459961975,0.7290666666666668,8.035141937602624,6.564844420473007
"(1.493, 1.688]",1.59009306792187,0.6301333333333333,4.857134102143065,7.329845596819837
"(1.688, 1.884]",1.7864110669207396,0.5466666666666666,1.9407206256139302,7.912466297354038
"(1.884, 2.08]",1.9854503626057625,0.5312,1.9030671924567162,7.749814284052438
"(2.08, 2.295]",2.1802319177488387,0.3773333333333333,-4.179007303826389,8.750250043573425
"(2.295, 2.56]",2.423651701461262,0.43439999999999995,-1.9060040500231652,8.385723023411813
"(2.56, 2.894]",2.721769126493928,0.44453333333333334,-1.5679737315935245,8.308995227442894
"(2.894, 3.332]",3.1032602264348585,0.4394666666666666,-1.6710452549671468,8.40301098386253
"(3.332, 3.924]",3.6116700718688377,0.44693333333333335,-1.5072107482139745,8.370032311754198
"(3.924, 4.774]",4.318635709217918,0.4432,-1.4883338297322675,8.336795933529
"(4.774, 6.085]",5.376037701335129,0.45039999999999997,-1.2867565302834236,8.318189934632327
"(6.085, 8.456]",7.130122620365499,0.4338666666666667,-2.137090794322344,8.453364314371095
"(8.456, 13.772]",10.674228359975988,0.43760000000000004,-2.038516918044699,8.315035592106138
"(13.772, 50.0]",23.710804461034954,0.3424,-5.627919666900818,8.809131195579393
